Label,TitleLv,TitleEn,DescriptionLv,Domain,ConceptGroup,Grade
PairingStrategyInGames,"Pārošanas (sapārošanas) stratēģija","Pairing strategy in games","Visi pieejamie objekti vai pozīcijas tiek sapāroti tā, ka uz katru pretinieka gājienu var atbildēt ar pāra otru pusi. Variantē simetrijas stratēģiju, kad simetrija nav acīmredzama.",Comb,GamesAndProcesses,8
WinningLosingPositionAnalysis,"Uzvarošu/zaudējošu pozīciju analīze","Winning/losing position analysis","Spēles pozīciju klasifikācija no beigām uz priekšu: galastāvokļi → zaudējošas → uzvarošas. Lieto, ja simetrijas stratēģija nestrādā. Tipisks: viens kauliņš pārvietojas uz $1$ vai $2$ rūtiņām pretī otram kauliņam.",Comb,GamesAndProcesses,8
SmallCaseGeneralization,"Pāreja uz mazāku problēmu un vispārinājums","Reduction to smaller cases","Aplūko mazas $n$ vērtības ($n=1, 2, 3, 4, \ldots$), pamana likumsakarību un to vispārina. Pamats induktīviem spriedumiem un rekurencu atrašanai. Tipiski olimpiāžu pirmais solis grūtos uzdevumos.",Alg,LogicalStructures,6
RecurrenceRelationModel,"Rekurence un tās izpildīšana","Recurrence and its solution","Objektu skaits, kas atkarīgs no parametra $n$, tiek atrasts, izsakot $a_n$ caur $a_{n-1}$ un/vai $a_{n-2}$. Klasika: pakāpienu kāpšana ar 1, 2 vai 3 soļiem; basketbola punkti ar 1 un 3 metieniem; taisnstūra $2 \times n$ pārklāšana ar domino. Bieži atdod Fibonači vai radniecīgu virkni.",Alg,Sequences,8
PeriodicityModel,"Periodiskuma izmantošana","Periodicity exploitation","Virknei vai procesam ir periods $T$; lai atrastu $n$-to locekli (vai stāvokli pēc $n$ soļiem), izmanto $n \bmod T$. Visizplatītākais — pakāpju pēdējā cipara periodiskums; ciparu summu virknes; rekurentu virkņu locekļi modulo $m$.",Alg,Sequences,7
ArithmeticSeriesSum,"Aritmētiskās virknes summa","Sum of arithmetic series","$1 + 2 + \ldots + n = n(n+1)/2$ un vispārīgāk $S_n = n(a_1 + a_n)/2$. Lieto gan ""garu summu"" aprēķinos olimpiādēs, gan kombinatoriskos uzdevumos par pāru/trijnieku skaitu, gan ģeometriskos (rūtiņu, taisnstūru skaita aprēķinos).",Alg,Sequences,8
TelescopingAndPairing,"""Teleskopiskā"" summa un sagrupēšana pāros","Telescoping and pairing in sums","Garu summu pārveidošana, lai blakus saskaitāmie viens otru ""dzēstu"" — piem., $\frac{1}{n(n+1)} = \frac{1}{n} - \frac{1}{n+1}$, vai sagrupē pa pāriem ar vienādu summu (piem., $1+100 = 2+99 = \ldots$).",Alg,Sequences,7
DigitSumAndDivisibility,"Ciparu summa un dalāmība","Digit sum and divisibility","Skaitlis dod tādu pašu atlikumu, dalot ar 9, kā tā ciparu summa (un ar 3 — līdzīgi). Lieto gan dalāmības pierādījumiem (ciparu pārkārtošana saglabā dalāmību ar 9), gan invariantu uzdevumiem.",NT,DigitStructures,6
LastDigitOfPower,"Pakāpes pēdējais cipars","Last digit of a power","$a^n$ pēdējie cipari pēc $n$ veido periodisku virkni (perioda garums dala 4). Klasiskais uzdevums ""kāds ir $2022^{2022}$ pēdējais cipars"". Vispārīgāk — atlikumi modulo 10, 100, 1000.",NT,DigitStructures,7
ModularArithmeticForRemainders,"Atlikumi pēc moduļa","Modular arithmetic for remainders","Aprēķini formā ""kāds ir $N$ atlikums, dalot ar $m$"" izmantojot ekvivalentu $a \equiv b \pmod{m}$. Pamats: ja $a \equiv a'$ un $b \equiv b'$, tad $a+b \equiv a'+b'$ un $ab \equiv a'b'$.",NT,DivisibilityStructures,8
DivisibilityViaFactorization,"Dalāmība caur sadalīšanu reizinātājos","Divisibility via factorization","Pierāda, ka skaitlis dalās ar $k$ vai nav pirmskaitlis, izmantojot saīsinātās reizināšanas formulas: $a^2-b^2 = (a-b)(a+b)$, $a^3 \pm b^3$, summas kvadrāts. Pārveido ""nezināmā struktūra"" par ""produkts"".",NT,AlgebraicIdentities,9
EuclideanAlgorithmAndBezout,"Eiklīda algoritms un Bezū identitāte","Euclidean algorithm and Bezout identity","$\gcd(a,b)$ atrašana ar atkārtotu dalīšanu ar atlikumu; un fakts, ka eksistē veseli $x, y$ ar $ax + by = \gcd(a,b)$. Modelis ietver: 1L ūdens nomērīšana ar 5L un 7L krūzēm; lineāru vienādojumu risināšana veselos skaitļos; preču pirkšana par fiksētu santīmu skaitu.",NT,DivisibilityStructures,8
PrimeFactorizationStructure,"Sadalījums pirmreizinātājos kā struktūra","Prime factorization as structure","No $n = p_1^{a_1}\cdots p_k^{a_k}$ atvasina dalītāju skaitu $\tau(n) = \prod(a_i+1)$, dalītāju summu, $\gcd$, $\text{lcm}$, vai pierāda, ka $n$ ir pilns kvadrāts (visi $a_i$ pāra).",NT,DivisibilityStructures,8
DivisibilityRulesApplication,"Dalāmības pazīmju lietojums","Application of divisibility rules","Skaitļa cipariem uzliek nosacījumus tā, lai skaitlis dalītos ar 2, 3, 4, 5, 6, 8, 9, 10, 11. Tipiski: ""cik ir tādu četrciparu skaitļu, kas..."" vai ""kāds cipars ir * vietā"".",NT,DivisibilityStructures,5
ResidueClassesPartition,"Sadalījums atlikumu klasēs","Partition by residue classes","Doto skaitļu kopu sadala $n$ klasēs pēc atlikuma, dalot ar $n$. Lieto Dirihlē principa pielietošanai (piem., starpība dalās ar $n$), vai pārklājumu/krāsojumu uzdevumos.",NT,DivisibilityStructures,8
PigeonholeBasic,"Dirihlē princips (pamata variants)","Pigeonhole principle (basic)","Ja vairāk nekā $n$ objektus jāsadala $n$ grupās, vismaz vienā grupā ir vismaz 2 objekti. Modelis ietver: starpība dalās ar $n$ (atlikumu klases); ar vienādu dzimšanas mēnesi; vienādās rindiņās/kolonnās; vienādās krāsās.",Comb,CountingPrinciples,7
PigeonholeGeneralized,"Dirihlē princips (vispārinātais)","Pigeonhole principle (generalized)","Ja vairāk nekā $mn$ objektus sadala $n$ grupās, kāda grupa satur vismaz $m+1$ objektu. Tipiski: ""no 28 skolēniem ir 4 ar vienādu atzīmi"" vai analogi.",Comb,CountingPrinciples,8
HandshakeLemmaApplication,"Rokasspiedienu lemmas lietojums","Handshake lemma in graph problems","Visu virsotņu pakāpju summa = $2|E|$ (pāra). Sekas: nepāra pakāpes virsotņu skaits ir pāra. Pierāda, ka grafs ar dotajām pakāpēm neeksistē (piem., 2,2,2,2,3,4,5 — nepāra galu skaits) vai eksistē.",Comb,Graphs,7
EulerianTrailCondition,"Eilera ceļa eksistences nosacījums","Eulerian trail existence","Grafs satur Eilera ciklu (visas šķautnes vienreiz, atgriežoties) tad un tikai tad, ja visas virsotnes pāra pakāpes. Eilera ceļš starp dažādām virsotnēm — tieši 2 nepāra pakāpes virsotnes. Klasika: Kēnigsbergas tilti, ""apskatīt visus ceļus""...",Comb,Graphs,8
HamiltonianPathInGrid,"Hamiltona ceļš rūtiņu režģī","Hamiltonian path in a grid","""Apmeklēt katru rūtiņu/telpu tieši vienreiz"" tipa uzdevumi $m \times n$ taisnstūrī. Bipartīta krāsojuma arguments: pārkāpumi mainās starp baltām un melnām rūtiņām, tāpēc nepāra rūtiņu skaita gadījumā maršruta sākums un beigas atrodas vienādi krāsotā rūtiņā.",Comb,Graphs,8
GraphRepresentationOfRelations,"Attiecību attēlošana ar grafu","Graph representation of binary relations","Attiecības starp objektiem (draudzība, pilsētu savienojumi, turnīra rezultāti) attēlot kā grafa virsotnes un šķautnes; tālāk grafa īpašības palīdz risināt uzdevumu.",Comb,Graphs,7
TournamentDoubleCounting,"Divkārša saskaitīšana turnīros","Double counting in tournaments","Skaita to pašu lielumu divos veidos, lai iegūtu vienādību. Klasiski: turnīrā $n$ dalībnieki spēlē katrs pret katru, kopā $\binom{n}{2}$ spēles; vai zēnu-meiteņu draudzības (zēnu draudzību ar meitenēm skaits = meiteņu draudzību ar zēniem skaits).",Comb,CountingPrinciples,7
WeighingsAndDecisionTree,"Svēršanu uzdevumi un lēmumu koks","Weighings and decision tree","Ar $k$ svēršanām var atšķirt $3^k$ gadījumus (jo katra svēršana — 3 iznākumi). Tipiski: atrast vieglāku/smagāku monētu starp $n$, vai noteikt 1. un 2. labāko šahistu ar minimālu spēļu skaitu.",Comb,CountingPrinciples,7
ExhaustiveCaseEnumeration,"Pilnā pārlase ar gadījumu sašķelšanu","Exhaustive case-bashing","Sistemātiski iziet visus iespējamos gadījumus pēc kāda parametra (piem., kāds cipars stāv pirmajā vietā; kurš ir vienādsānu trijstūra virsotnes leņķis; cik no 5 cilvēkiem teica patiesību). Risinājumā jāparāda, ka aplūkoti tieši visi gadījumi.",Comb,LogicalStructures,6
ExtremalPrincipleArgument,"Ekstremāla elementa princips","Extremal principle","Pierādījumā aplūko ""mazāko/lielāko"" elementu kādā kopā un iegūst pretrunu vai konstruktīvu rezultātu. Piem., ja eksistē kontrjpiemērs, ņem mazāko; ja kāds skaitlis lielākais kāpā, tad...",Comb,LogicalStructures,9
ProofByContradictionPattern,"Pierādījums no pretējā kā paterns","Proof by contradiction pattern","Pieņem pretējo apgalvojumam, izsecini sekas, iegūsti pretrunu. Lieto neeksistences (""prasītais nav iespējams"") pierādījumiem; klasiska shēma invariantu un dalāmības uzdevumos.",Alg,LogicalStructures,8
TruthTellersAndLiarsModel,"Patiesības teicēju un meļu modelis","Truth-tellers and liars model","Objekti dalās divās klasēs — vieni vienmēr saka patiesību, otri vienmēr melo. Risinājums: aplūkot katra apgalvojuma patiesības vērtību abām klasēm un atrast konsistentu piešķīrumu (parasti ar gadījumu pārlasi).",Comb,LogicalStructures,7
LogicalCaseAnalysisFromAssumptions,"Loģiska gadījumu analīze pēc pieņēmumiem","Logical case analysis from assumptions","Šķiro gadījumus pēc pieņēmumiem par apgalvojumu patiesumu (vai par objekta tipu). No katra pieņēmuma izsecina sekas un atstāj tikai tos gadījumus, kuros nav pretrunu. Tipiski ""knights and knaves"" un loģikas mīklās.",Comb,LogicalStructures,7
SetCountingInclusionExclusion,"Iekļaušanas–izslēgšanas formulas","Inclusion-exclusion counting","$|A \cup B| = |A| + |B| - |A \cap B|$ un trīs kopu vispārinājums. Lieto Eilera-Venna diagrammu uzdevumos (piem., trollīši ar dažādu krāsu cepurītēm; skolēni, kas spēlē dažādus instrumentus).",Comb,SetsAndOperations,7
ProductRuleForOrderedChoices,"Reizināšanas likums sakārtotām izvēlēm","Multiplication rule for ordered choices","Veidu skaits izvēlēties komplektu = (1. izvēles veidu skaits) × (2. izvēles veidu skaits) × ... Tipiski: cik dažādu skaitļu / krāsotu ornamentu / numuru var izveidot.",Comb,CountingPrinciples,7
CountingArrangementsAndSelections,"Sakārtojumu un kombināciju skaitīšana","Counting permutations and combinations","No $n$ dažādiem elementiem $k$ izvēlēties: sakārtoti $\frac{n!}{(n-k)!}$ veidos, nesakārtoti $\binom{n}{k}$ veidos. Lieto, ja jautā ""cik dažādi paveikt..."".",Comb,CountingPrinciples,8
PathsInLatticeGrid,"Ceļu skaits rūtiņu režģī","Counting paths in a lattice","Cik dažādu ceļu no $A$ uz $B$, ja katrā solī iet pa labi vai uz augšu. Atbilde — binomiālais koeficients vai tā variācija ar šķēršļiem (atskaita ceļus caur aizliegtu rūtiņu).",Comb,DiscreteStructures,7
DyckLikeSequencesSimple,"Vienkāršas rekurences kombinatoriskās virknēs","Simple recurrences for combinatorial counts","Skaitīt $n$ punktu izmetumus / sakārtojumus ar nosacījumu, izmantojot rekurenci $a_n = a_{n-1} + a_{n-k}$ vai citu. Tipiski: skaitļa izteikšana kā 1 un 3 summa; pakāpienu kāpšana.",Comb,Sequences,8
ChooseRepresentativeAndCount,"Sadalījums grupās un pārstāvja izvēle","Group partition and representative choice","Skaita objektus, sadalot tos grupās pēc kāda parametra un saskaitot katras grupas elementus. Tipiski: ""cik tādu skaitļu, kuri sākas ar..."" vai ""sadali pēc pirmā cipara"".",Comb,CountingPrinciples,7
TilingByDominoesAndColoring,"Pārklāšana ar domino un krāsojums","Domino tiling and coloring obstruction","$m \times n$ taisnstūri var pārklāt ar domino tikai, ja $mn$ ir pāra; ar nosacījumiem (izgriezta rūtiņa) — krāsošanas arguments parāda iespēju vai neiespējamību. Vispārīgāk arī citas figūras (T-tetromino, L-tromino).",Comb,DiscreteStructures,7
DissectIntoCongruentPieces,"Figūras sadalīšana vienādās daļās","Dissection into congruent pieces","Doto figūru jāsadala $n$ vienādās (kongruentās) daļās. Risināšanā parasti meklē figūras simetrijas, vai mēģina ar vienkāršām formām (taisnstūriem, $L$-formām).",Geom,DiscreteStructures,6
TriangleAngleChasing,"Leņķu ""dzīšana"" trijstūros un četrstūros","Angle chasing","Sistemātiska leņķu izteikšana caur citiem (zināmiem) leņķiem, izmantojot: trijstūra leņķu summu $180°$, ārējo leņķi, vienādsānu trijstūra īpašības, paralēlu taišņu šķērsleņķus, ievilkto leņķi. Klasiska olimpiāžu ģeometrijas tehnika.",Geom,GeometryShapes,8
ParallelLinesAndAngles,"Paralēlas taisnes un leņķi","Parallel lines and angle relations","Iekšējie un ārējie šķērsleņķi, sānu (vienpus) leņķi pie paralēlām taisnēm, ko krusto sekante. Pamats leņķu dzīšanai un palīglīniju ievilkšanai paralēli kādai dotai taisnei.",Geom,GeometryShapes,7
TriangleCongruenceProof,"Trijstūru vienādības pamatošana","Proving triangle congruence","Pierāda, ka divi trijstūri vienādi (mmm, mlm, lml u.c.), no kā seko atbilstošu malu vai leņķu vienādība. Tipiski olimpiāžu pierādījumu uzdevumos par paralelogramiem, viduspunktiem, simetriskām figūrām.",Geom,GeometryShapes,8
TriangleSimilarityProof,"Trijstūru līdzības pamatošana un attiecības","Triangle similarity and ratios","Pierāda līdzību (ll, mml proporcijā), no kā seko atbilstošu malu attiecību vienādība. Lieto, lai aprēķinātu nezināmas malas, augstumus, vai pielietotu ""ēnas garuma"" tipa uzdevumos.",Geom,GeometryShapes,9
PythagoreanModel,"Pitagora teorēmas modelis","Pythagorean theorem model","Taisnleņķa trijstūrī $a^2 + b^2 = c^2$. Klasiskais Pitagora trijnieks (3, 4, 5) un radniecīgie. Lieto attālumu aprēķinos koordinātu plaknē, taisnstūru diagonāles, augstumi vienādsānu trijstūros.",Geom,GeometryShapes,8
AreaPreservingTransformation,"Vienlielas figūras un laukuma saglabāšana","Equal-area figures and area preservation","Trijstūrim, kura pamats un augstums saglabājas, laukums saglabājas (var ""pārvietot"" virsotni paralēli pamatam). Mediāna sadala trijstūri 2 vienlielās daļās. Lieto laukuma uzdevumos paralelogramos un trapecēs.",Geom,GeometryShapes,8
AreaRatiosFromCommonHeight,"Laukumu attiecības caur kopēju augstumu","Area ratios via common altitude","Diviem trijstūriem ar kopēju augstumu laukumu attiecība = pamatu attiecība. Pamats laukumu attiecību uzdevumiem trijstūros un četrstūros.",Geom,GeometryShapes,8
AuxiliaryLineConstruction,"Palīglīniju konstrukcija ģeometrijā","Auxiliary line construction","Pievieno zīmējumam papildu nogriezni vai taisni (paralēli kādai malai, perpendikulāri, vienādu nogriezni, savienojot viduspunktus), lai radītu jaunus trijstūrus, paralelogramus vai izmantotu vienādības/līdzības pazīmes.",Geom,GeometryShapes,8
ParallelogramProperties,"Paralelograma un tā speciālgadījumu īpašības","Parallelogram properties","Paralelograma pretējās malas vienādas un paralēlas; pretējie leņķi vienādi; diagonāles dalās uz pusēm. Romba diagonāles perpendikulāras; taisnstūra — vienāda garuma; kvadrāta — abas. Lieto, lai pierādītu, ka kāds četrstūris ir noteiktais.",Geom,GeometryShapes,8
TriangleInequalityModel,"Trijstūra nevienādība kā modelis","Triangle inequality model","Trijstūra eksistences nosacījums: jebkuras malas garums < pārējo divu summas. Lieto, lai pamatotu, ka kāds garums nav iespējams; vai garumu nevienādību pierādījumos (piem., $3AC > AB$ vienādsānu trijstūrī).",Geom,GeometryShapes,7
SymmetryInPlane,"Simetrija plaknē kā modelis","Plane symmetry as a model","Atspulgs pret asi vai centru saglabā attālumus, leņķus, vienādību. Lieto: simetriskos figūru raksturos, simetriskās stratēģijās, palīglīniju ievilkšanā ar simetriju, simetriski pierakstītos skaitļos (palindromi).",Geom,Transformations,7
RotationFor60And90Degrees,"Pagrieziens (parasti par 60° vai 90°) kā modelis","Rotation by 60° or 90° as a tool","Pagrieziens ap punktu par fiksētu leņķi pārveido vienu trijstūri par citu, parādot vienādību. Bieži lieto kvadrātu un vienādmalu trijstūru konfigurācijās; kā arī iegūst simetriskas konfigurācijas no nesimetriskām.",Geom,Transformations,9
MagicConfigurationConstraints,"Maģiskā kvadrāta tipa ierobežojumi","Magic configuration constraints","Skaitļu izvietošana figūrā ar nosacījumu, ka rindu/kolonnu/diagonāļu summas vienādas. Sākotnējais solis: aprēķināt kopējo summu un to dalīt ar grupu skaitu; pēc tam — tiešā konstrukcija vai gadījumu pārlase.",Comb,DiscreteStructures,5
ConsecutiveCellsConstraint,"Blakus rūtiņu/elementu nosacījumi","Consecutive cells constraints","Skaitļu izvietošana rindā vai režģī ar nosacījumiem starp blakus elementiem (summa, starpība, paritāte). Risinājumā bieži pierāda, ka virkne ir periodiska, vai meklē invariantu.",Comb,DiscreteStructures,7
AlgebraicIdentityForFactoring,"Algebriskās identitātes sadalīšanai reizinātājos","Algebraic identities for factoring","$a^2 - b^2 = (a-b)(a+b)$, $(a \pm b)^2$, kuba un kubu summas/starpības formulas. Lieto, lai pierādītu, ka skaitlis nav pirmskaitlis, vai vienkāršotu izteiksmes.",Alg,AlgebraicIdentities,9
QuadraticDiscriminantAndVieta,"Kvadrātvienādojuma diskriminants un Vjeta formulas","Quadratic discriminant and Vieta's formulas","Kvadrātvienādojumam $ax^2 + bx + c = 0$: sakņu skaitu nosaka $D = b^2 - 4ac$; sakņu summa = $-b/a$, reizinājums = $c/a$. Lieto, lai pierādītu apgalvojumus par saknēm bez to izrēķināšanas.",Alg,EquationsAndInequalities,9
LinearFunctionGraphAnalysis,"Lineāras funkcijas grafika analīze","Linear function graph analysis","No grafika novietojuma (kas iet caur kuru kvadrantu, augoša/dilstoša) izsecina koeficientu zīmes; vai otrādi — no koeficientiem zīmē grafiku. Tipiski: ""pierādiet, ka $(b-a)(k-m) > 0$"".",Alg,Functions,8
QuadraticFunctionVertexAndRoots,"Kvadrātfunkcijas virsotne un saknes","Quadratic function: vertex and roots","Parabolas virsotnes abscisa — sakņu vidējais; novietojums koordinātu plaknē atkarībā no koeficientu zīmēm; krustpunkti ar asīm. Lieto kvadrātfunkciju grafikus salīdzinošos uzdevumos.",Alg,Functions,9
ProbabilityViaCounting,"Varbūtības aprēķins caur skaitīšanu","Probability via counting","$P(A) = \frac{|A|}{|\Omega|}$ klasiskajā gadījumā. Bieži apvienots ar lēmumu koka konstrukciju (testa atbilžu varianti, monētu mešana, kauliņu izlozes).",Comb,DataAndProbability,8
StatisticsAggregateConstraint,"Vidējā / mediānas / amplitūdas nosacījumi","Constraints from mean/median/range","Uzdevums dod kopas vidējo (vai mediānu, modu) un prasa atrast iespējamos elementu skaitus. Lieto: vidējais reizināts ar elementu skaitu = summa; tā tiek izmantota par jaunu vienādojumu.",Alg,DataAndProbability,8
GeometricFormulaApplication,"Pamatformulu lietojums (perimetrs, laukums, tilpums)","Application of basic geometric formulas","Standarta formulu (taisnstūra, trijstūra, riņķa laukumu; prizmu, piramīdu tilpumu) izmantošana, bieži apvienojot vairākas figūras vienā uzdevumā vai izsakot nezināmo lielumu no formulas.",Geom,GeometryShapes,7
FigureSequenceAndPattern,"Figūru virkne un likumsakarība","Sequence of figures and patterns","Figūru virkne, kurā katru nākamo iegūst pēc noteikta likuma; jautā par $n$-tās figūras īpašībām (kvadrātu skaits, perimetrs). Modelē ar aritmētisku virkni vai tās variāciju.",Alg,Sequences,5
EulerVennDiagramModel,"Eilera–Venna diagrammu izmantošana","Euler-Venn diagram modelling","2 vai 3 kopu pārklājošās diagrammas aizpilda ar elementu skaitiem dažādos apgabalos, izmantojot dotos kopu izmērus un pārklājumus. Tipiski: skolēni, kas mācās dažādas valodas; trollīši ar dažādām cepurītēm.",Comb,SetsAndOperations,7
CoinExchangeOrPostageStamps,"Monētu, pastmarku, naudas izteikšanas modelis","Coin/stamp combination model","Kuras vērtības var izteikt ar dotām monētām/markām; cik mazākais skaits vajadzīgs. Saistīts ar Eiklīda algoritmu, lineāriem diofantiskiem vienādojumiem, $\gcd$.",NT,IntegerRepresentations,6
NumberLineAndIntegerSearch,"Skaitļu virknes pārmeklēšana ar nosacījumiem","Searching integers under constraints","Atrast visus naturālos/veselos skaitļus ar dotajām īpašībām (piem., ""ciparu summa = X, ciparu reizinājums = Y""), bieži ar saprātīgu pārlasi pēc galvenā parametra.",NT,IntegerRepresentations,6
