Label,TitleLv,TitleEn,DescriptionLv,Domain,ConceptGroup,Grade
DivisionWithRemainder,"Dalīšana ar atlikumu","Division with remainder","Katram veselam $a$ un naturālam $n$ eksistē unikāli $q, r$ ar $a = nq + r$, $0 \le r < n$. Pamats moduļu aritmētikai.",NT,DivisibilityStructures,5
ModularArithmetic,"Atlikumu klases pēc moduļa $n$","Residue classes modulo n","Skaitļu sadalījums grupās pēc atlikuma, dalot ar $n$. Pieraksts $a \equiv b \pmod{n}$. Pamats daudzu invariantu un dalāmības uzdevumu risināšanā.",NT,DivisibilityStructures,8
DivisibilityRules,"Dalāmības pazīmes","Divisibility rules","Likumi, kas no skaitļa cipariem ļauj noteikt dalāmību ar 2, 3, 4, 5, 6, 8, 9, 10, 11. Bieži kombinējami: dalāmība ar 6 = dalāmība ar 2 un 3.",NT,DivisibilityStructures,5
CoprimeIntegers,"Savstarpēji pirmskaitļi","Coprime integers","Divi skaitļi $a$ un $b$, kuru lielākais kopīgais dalītājs ir 1. Atslēgas jēdziens daudzām dalāmības problēmām.",NT,DivisibilityStructures,7
PerfectSquares,"Pilni kvadrāti","Perfect squares","Skaitļi formā $n^2$, kur $n$ ir vesels. Olimpiādēs bieži jāpamato, ka kāds skaitlis ir vai nav pilns kvadrāts (piem., izmantojot atlikumus pēc moduļa).",NT,DivisibilityStructures,8
PerfectCubes,"Pilni kubi","Perfect cubes","Skaitļi formā $n^3$. Veselu skaitļu kubi pēc moduļa 9 ir kongruenti tikai ar 0, 1 vai $-1$ — tipiska invarianta struktūra.",NT,DivisibilityStructures,8
DigitRepresentation,"Skaitļa decimālais pieraksts","Decimal representation of an integer","Skaitlis kā ciparu virkne $(d_n, d_{n-1}, \ldots, d_0)$, kas atbilst summai $\sum d_i \cdot 10^i$. Uzdevumi par ciparu summu, pēdējo ciparu, ciparu pārkārtošanu balstās šajā struktūrā.",NT,DigitStructures,5
DigitSum,"Skaitļa ciparu summa","Digit sum","Visu skaitļa ciparu summa. Saistīta ar dalāmību ar 3 un 9 (skaitlis dod tādu pašu atlikumu, dalot ar 9, kā tā ciparu summa).",NT,DigitStructures,5
DigitProduct,"Skaitļa ciparu reizinājums","Digit product","Visu skaitļa ciparu reizinājums. Tipiski jautā: cik ir naturālo skaitļu, kuru ciparu reizinājums ir N un summa M.",NT,DigitStructures,6
LastDigit,"Skaitļa pēdējais cipars","Last digit of a number","Skaitļa atlikums, dalot ar 10. Pakāpju pēdējie cipari veido periodiskas virknes — bieža uzdevumu tēma.",NT,DigitStructures,6
PalindromeNumbers,"Simetriski (palindromu) skaitļi","Palindromic numbers","Skaitļi, kas vienādi lasāmi no abām pusēm (piem., 12321). Parādās gan skaitļu teorijā, gan ""odometra"" tipa uzdevumos.",NT,DigitStructures,6
PositionalSystems,"Skaitļu sistēmas ar dažādu pamatu","Positional numeral systems","Skaitļa pieraksts ne tikai 10. pamatā, bet arī 2., 3. utt. Olimpiādēs reti pamatskolā, bet noderīgs binārajos uzdevumos.",NT,DigitStructures,9
NumberPartitions,"Skaitļa sadalījumi summās","Integer partitions","Naturāla skaitļa $n$ pieraksts kā citu naturālu skaitļu summa (parasti ar nosacījumiem: dažādi saskaitāmie, tikai pirmskaitļi, tikai 2 un 3 utml.).",NT,IntegerRepresentations,6
LinearDiophantine,"Vienādojumi formā $ax+by=c$ veselos skaitļos","Linear Diophantine equations","Vienādojuma $ax + by = c$ atrisinājumi veselos vai naturālos skaitļos. Atrisinājuma esamība saistīta ar GCD.",NT,IntegerRepresentations,8
FrobeniusType,"Izteikšana ar fiksētiem nominālsaiem","Frobenius-type combinations","Kuras vērtības var iegūt formā $ax + by$ ar $x, y \in \mathbb{N}_0$ (monētu, pastmarku, basketbola punktu uzdevumi).",NT,IntegerRepresentations,7
DiffOfSquaresFactoring,"Kvadrātu starpības struktūra","Difference of squares factoring","Sakarība $a^2 - b^2 = (a-b)(a+b)$ kā veids, kā skaitli pārvērst no starpības par reizinājumu (piem., pierādīt, ka kāds skaitlis nav pirmskaitlis).",Alg,AlgebraicIdentities,8
SquareOfSumIdentity,"Summas/starpības kvadrāta formula","Square of sum/difference","$(a \pm b)^2 = a^2 \pm 2ab + b^2$ — pamatformula izteiksmju pārveidojumiem un struktūru atpazīšanai.",Alg,AlgebraicIdentities,8
CubeIdentities,"Kuba un kubu summas/starpības formulas","Cube identities","$(a \pm b)^3$, $a^3 \pm b^3$ identiteti. Bieži parādās izteiksmju vienkāršošanā un dalāmības pierādījumos.",Alg,AlgebraicIdentities,9
ContinuedFractions,"Ķēdes daļas","Continued fractions","Skaitļa pieraksts formā $a_0 + \cfrac{1}{a_1 + \cfrac{1}{a_2 + \ldots}}$. Olimpiādēs vienkāršākajā variantā parādās jau 6.–7. klasē.",NT,IntegerRepresentations,7
NumberSequence,"Skaitļu virkne","Number sequence","Funkcija $a: \mathbb{N} \to \mathbb{R}$, kur $a_n$ ir $n$-tais virknes loceklis. Pamats jebkuram uzdevumam, kurā parādās ""turpini virkni"" vai ""kāds ir 2024. loceklis"".",Alg,Sequences,7
ArithmeticProgression,"Aritmētiskā progresija","Arithmetic progression","Virkne $a_n$, kurā katrs nākamais loceklis iegūts, iepriekšējam pieskaitot fiksētu skaitli $d$ (diferenci). Vispārīgā locekļa formula: $a_n = a_1 + (n-1)d$.",Alg,Sequences,9
GeometricProgression,"Ģeometriskā progresija","Geometric progression","Virkne, kurā katru nākamo locekli iegūst, iepriekšējo reizinot ar fiksētu skaitli $q$ (kvocientu). $b_n = b_1 \cdot q^{n-1}$.",Alg,Sequences,9
RecurrentSequence,"Rekurenti uzdota virkne","Recurrent sequence","Virkne, kuras katrs loceklis (sākot no kāda) ir izteikts caur iepriekšējiem; piem., $a_{n+1} = f(a_n, a_{n-1})$. Klasiskais piemērs — Fibonači virkne.",Alg,Sequences,8
PeriodicSequence,"Periodiska virkne","Periodic sequence","Virkne, kurā kāds bloks atkārtojas: $a_{n+T} = a_n$ visiem pietiekami lieliem $n$. Atslēgas struktūra ""kāds ir 2024. loceklis"" tipa uzdevumos.",Alg,Sequences,7
FibonacciLikeSequence,"Fibonači tipa virkne","Fibonacci-type sequence","Virkne ar sakarību $a_{n+2} = a_{n+1} + a_n$ (vai variācijām, piem., $a_{n+1} + a_{n-1}$, $a_{n} + a_{n-3}$). Bieži pasniedz pakāpienu, sakārtojumu vai pārklājumu uzdevumus.",Alg,Sequences,8
FiniteSequenceArrangement,"Galīga virkne / sakārtojums rindā","Finite sequence / linear arrangement","$n$ elementu sakārtojums rindā — funkcija $\{1, \ldots, n\} \to S$. Skolēni rindā pēc auguma, skaitļi rindā ar nosacījumiem starp blakus stāvošiem.",Comb,Sequences,5
VariableExpression,"Izteiksme ar mainīgo (algebriska izteiksme)","Algebraic expression","Izteiksme, kurā ietilpst mainīgie un skaitļi (piem., $3x + 2$, $a^2 + b^2$). Tās vērtība ir funkcija no mainīgo vērtībām.",Alg,EquationsAndInequalities,7
LinearEquation,"Lineārs vienādojums","Linear equation","Vienādojums formā $ax + b = 0$ vai sistēma no šādiem vienādojumiem ar vairākiem nezināmiem.",Alg,EquationsAndInequalities,7
QuadraticEquation,"Kvadrātvienādojums","Quadratic equation","Vienādojums formā $ax^2 + bx + c = 0$, $a \neq 0$. Saknes nosaka diskriminants un Vjeta formulas.",Alg,EquationsAndInequalities,9
EquationSystem,"Vienādojumu sistēma","System of equations","Vairāki vienādojumi ar vairākiem nezināmiem, kurus jāapmierina vienlaikus. Atrisinājumu kopa = atsevišķo atrisinājumu kopu šķēlums.",Alg,EquationsAndInequalities,8
LinearInequality,"Lineāra nevienādība","Linear inequality","Nevienādība formā $ax + b > 0$, $\ge 0$, $< 0$, $\le 0$. Atrisinājumu kopa ir pus-asis vai intervāli uz skaitļu taisnes.",Alg,EquationsAndInequalities,9
LinearFunction,"Lineāra funkcija","Linear function","Funkcija $y = kx + b$, kuras grafiks ir taisne. Koeficients $k$ nosaka slīpumu, $b$ — krustpunktu ar $y$-asi.",Alg,Functions,8
QuadraticFunction,"Kvadrātfunkcija","Quadratic function","Funkcija $y = ax^2 + bx + c$, $a \neq 0$, kuras grafiks ir parabola.",Alg,Functions,9
InverseProportion,"Apgriezti proporcionāli lielumi","Inverse proportionality","Sakarība $y = k/x$, kuras grafiks ir hiperbola. Tieši proporcionāli lielumi savukārt ir lineāras funkcijas $y = kx$ piemērs.",Alg,Functions,9
DirectProportion,"Tieši proporcionāli lielumi","Direct proportionality","Lielumi $x$ un $y$, kuriem $y/x = k$ (konstante). Sakarības speciālgadījums, kas ir lineāra funkcija caur sākumpunktu.",Alg,Functions,7
PolynomialAndRoots,"Polinoms un tā saknes","Polynomial and its roots","Izteiksme formā $a_n x^n + \ldots + a_1 x + a_0$. Polinoma sakne ir tāds $x$, ar kuru polinoma vērtība ir 0. Saknes saistītas ar koeficientiem caur Vjeta formulām.",Alg,EquationsAndInequalities,9
VietasFormulas,"Vjeta formulas","Vieta's formulas","Sakarības starp polinoma saknēm un koeficientiem. Kvadrātvienādojumam $x_1 + x_2 = -b/a$, $x_1 x_2 = c/a$.",Alg,EquationsAndInequalities,9
FiniteSet,"Galīga kopa un tās elementu skaits","Finite set and its cardinality","Kopa $A$ ar elementu skaitu $|A|$. Pamats jebkurai kombinatorikai un kopu uzdevumiem.",Comb,SetsAndOperations,5
SubsetConcept,"Apakškopa","Subset","Kopa $B$ ir kopas $A$ apakškopa ($B \subseteq A$), ja katrs $B$ elements ir arī $A$ elements. Visu apakškopu skaits $n$-elementu kopai ir $2^n$.",Comb,SetsAndOperations,7
SetUnion,"Kopu apvienojums","Set union","$A \cup B$ — visu to elementu kopa, kuri pieder $A$ vai $B$ (vai abām).",Comb,SetsAndOperations,7
SetIntersection,"Kopu šķēlums","Set intersection","$A \cap B$ — visu to elementu kopa, kuri pieder gan $A$, gan $B$.",Comb,SetsAndOperations,7
SetDifference,"Kopu starpība un papildinājums","Set difference and complement","$A \setminus B$ — elementi $A$, kas nepieder $B$. Papildinājums — visa, kas neietilpst kopā (attiecībā pret universumu).",Comb,SetsAndOperations,7
EulerVennDiagrams,"Eilera–Venna diagrammas","Euler-Venn diagrams","Vizuāls kopu un to apvienojumu/šķēlumu attēlojums ar pārklājošiem riņķiem. Tipiska sadzīves konteksta uzdevumu (sportotāji, mūziķi, mājdzīvnieku īpašnieki) struktūra.",Comb,SetsAndOperations,7
InclusionExclusion,"Iekļaušanas–izslēgšanas princips","Inclusion-exclusion principle","Formula $|A \cup B| = |A| + |B| - |A \cap B|$ un tās vispārinājumi vairākām kopām. Veids, kā saskaitīt elementus, kas ietilpst vismaz vienā no vairākām kopām.",Comb,SetsAndOperations,8
OrderedPair,"Sakārtots pāris","Ordered pair","Pāris $(a, b)$, kurā elementu secība ir svarīga: $(a,b) \neq (b,a)$, ja $a \neq b$. Pamats Dekarta reizinājumam un koordinātām.",Comb,SetsAndOperations,7
CartesianProduct,"Kopu Dekarta reizinājums","Cartesian product","$A \times B$ — visu sakārtoto pāru $(a, b)$ kopa, kur $a \in A$, $b \in B$. Pamats reizināšanas likumam un režģa uzdevumiem.",Comb,SetsAndOperations,7
SetPartition,"Kopas sadalījums (partīcija)","Set partition","Kopas sadalījums savstarpēji nešķeļošās apakškopās, kuru apvienojums ir visa kopa. Piemēri: atlikumu klases, krāsu klases, ekvivalences klases.",Comb,SetsAndOperations,8
FunctionConcept,"Funkcija (piekārtojums)","Function (mapping)","Likums $f: A \to B$, kas katram $A$ elementam piekārto tieši vienu $B$ elementu. $A$ — definīcijas apgabals, $B$ — vērtību kopa.",Alg,Functions,7
FunctionDomainRange,"Funkcijas definīcijas apgabals un vērtību kopa","Domain and range of a function","Definīcijas apgabals — kopa, no kuras ņemam argumentu; vērtību kopa — visu funkcijas vērtību kopums.",Alg,Functions,8
Bijection,"Bijekcija (savstarpēji viennozīmīgs attēlojums)","Bijection","Funkcija $f: A \to B$, kurā katram $b \in B$ atbilst tieši viens $a \in A$. Galvenais instruments, lai pierādītu, ka $|A| = |B|$, neskaitot abas kopas.",Comb,Functions,8
FunctionComposition,"Funkciju kompozīcija","Function composition","Operācija $(g \circ f)(x) = g(f(x))$ — vispirms pielieto $f$, pēc tam $g$. Olimpiādēs vienkāršākajos gadījumos parādās ""funkcijas iterācijās"".",Alg,Functions,9
CountingProductRule,"Kombinatorikas reizināšanas likums","Multiplication principle","Ja viens objekts izvēlams $a$ veidos un (neatkarīgi) otrs — $b$ veidos, tad pāri var izvēlēties $a \cdot b$ veidos.",Comb,CountingPrinciples,5
CountingSumRule,"Kombinatorikas saskaitīšanas likums","Addition principle","Ja objekts ir vai nu no $A$ ($a$ veidi), vai no $B$ ($b$ veidi), un $A \cap B = \emptyset$, tad to var izvēlēties $a + b$ veidos.",Comb,CountingPrinciples,5
ExhaustiveCheck,"Pilnā pārlase","Exhaustive enumeration","Visu iespējamo gadījumu sistemātiska uzskaitīšana — gan kā risināšanas paņēmiens, gan kā pamatojuma struktūra.",Comb,CountingPrinciples,5
OrderedSelection,"Sakārtotas izlases (izvietojumi)","Ordered selections (arrangements)","Izlases, kurās elementu secība ir svarīga. No $n$ dažādiem elementiem $k$ var izvēlēties sakārtoti $n(n-1)\cdots(n-k+1)$ veidos.",Comb,CountingPrinciples,7
UnorderedSelection,"Nesakārtotas izlases (kombinācijas)","Unordered selections (combinations)","Izlases, kurās elementu secība nav svarīga. No $n$ dažādiem elementiem $k$ izvēlēties nesakārtoti var $\binom{n}{k}$ veidos.",Comb,CountingPrinciples,8
Factorial,"Faktoriālis","Factorial","$n! = 1 \cdot 2 \cdot 3 \cdots n$ — $n$ elementu permutāciju skaits. Pieņem $0! = 1$.",Comb,CountingPrinciples,8
BinomialCoefficient,"Binomiālie koeficienti","Binomial coefficients","$\binom{n}{k} = \frac{n!}{k!(n-k)!}$ — veidu skaits, kā no $n$ izvēlēties $k$ (bez atkārtošanās, bez secības). Saistīti ar Paskāla trijstūri.",Comb,CountingPrinciples,9
Permutation,"Permutācija","Permutation","Bijekcija $\{1, \ldots, n\} \to \{1, \ldots, n\}$. Var iztēloties kā $n$ dažādu elementu sakārtojumu rindā.",Comb,CountingPrinciples,8
LatticePath,"Ceļš rūtiņu režģī","Lattice path","Ceļš no vienas rūtiņas/punkta uz citu, ejot tikai pa atļautām bultiņām (parasti pa labi un uz augšu). Ceļu skaits saistīts ar binomiālajiem koeficientiem.",Comb,DiscreteStructures,7
Tuple,"Kortežs","Tuple","Sakārtots elementu komplekts $(x_1, x_2, \ldots, x_n)$. Atšķirībā no kopas — secība un atkārtošanās ir svarīgas.",Comb,SetsAndOperations,7
Coloring,"Krāsojums","Coloring","Funkcija no objektu kopas (rūtiņām, virsotnēm, šķautnēm) uz krāsu kopu. Atslēgas struktūra ""šaha galdiņa krāsojuma"" un grafu krāsošanas uzdevumos.",Comb,DiscreteStructures,6
ChessboardColoring,"Šaha galdiņa krāsojums","Checkerboard coloring","Speciāls krāsojums divās krāsās tā, ka blakus rūtiņām ir dažādas krāsas. Pamats invariantu pierādījumiem par pārklājumiem un maršrutiem rūtiņu lapā.",Comb,DiscreteStructures,6
Tiling,"Plaknes/figūras pārklāšana ar flīzēm","Tiling","Figūras pārklāšana ar fiksētas formas elementiem (domino, $L$-tetromino, $T$-figūra utml.) bez pārklāšanās un robu.",Comb,DiscreteStructures,6
DissectionIntoCongruent,"Figūras sadalīšana vienādās daļās","Dissection into congruent parts","Figūras sadalīšana noteiktā skaitā kongruentu (vienādu) daļu. Tipisks rūtiņu lapas uzdevums.",Geom,DiscreteStructures,6
MagicConfiguration,"Maģiskās konfigurācijas","Magic configurations","Skaitļu sakārtojums kvadrātā, trijstūrī, zvaigznē utml. ar nosacījumu, ka rindu/kolonnu/diagonāļu summas ir vienādas. Patiesībā — vienādojumu sistēma uz galīgas struktūras.",Comb,DiscreteStructures,5
LatinSquareSudoku,"Latīņu kvadrāts un sudoku","Latin square and Sudoku","Tabulas aizpildījums tā, ka katrā rindā un kolonnā katrs simbols parādās tieši vienu reizi. Latīņu kvadrāts ir matemātiskais paraugs Sudoku struktūrai.",Comb,DiscreteStructures,7
GraphConcept,"Grafs (virsotnes un šķautnes)","Graph (vertices and edges)","Pāris $G = (V, E)$, kur $V$ ir virsotņu kopa un $E$ — šķautņu (savienojumu starp virsotnēm) kopa. ""Pilsētas un aviolīnijas"", ""draudzības"", ""turnīri"" — visi ir grafi.",Comb,Graphs,7
VertexDegree,"Virsotnes pakāpe","Vertex degree","Šķautņu skaits, kas iziet no dotās virsotnes. Apzīmē $\deg(v)$.",Comb,Graphs,7
HandshakeLemma,"Rokasspiedienu lemma","Handshake lemma","Visu virsotņu pakāpju summa ir vienāda ar $2|E|$, tātad ir pāra skaitlis. Sekas: virsotņu ar nepāra pakāpi vienmēr ir pāra skaits.",Comb,Graphs,7
WalkPathCycle,"Maršruts, ceļš, cikls grafā","Walk, path, cycle in a graph","Maršruts — secīgi savienotu šķautņu virkne; ceļš — maršruts bez virsotņu atkārtošanās; cikls — ceļš, kas atgriežas sākumpunktā.",Comb,Graphs,7
ConnectedGraph,"Sakarīgs grafs un komponentes","Connected graph and components","Grafs ir sakarīgs, ja no jebkuras virsotnes var nokļūt uz jebkuru citu. Pretējā gadījumā tas sadalās vairākās sakarīguma komponentēs.",Comb,Graphs,8
BipartiteGraph,"Bipartīts (divdaļīgs) grafs","Bipartite graph","Grafs, kura virsotnes var sadalīt divās krāsās tā, ka katra šķautne savieno dažādu krāsu virsotnes. Šaha galdiņa krāsojums dod bipartītu grafu blakus rūtiņām.",Comb,Graphs,8
EulerPath,"Eilera ceļš un cikls","Eulerian path and circuit","Maršruts, kas iziet caur katru šķautni tieši vienu reizi. Eksistē tad un tikai tad, ja nepāra pakāpes virsotņu skaits ir 0 (cikls) vai 2 (ceļš). Kēnigsbergas tilti.",Comb,Graphs,8
HamiltonianPath,"Hamiltona ceļš un cikls","Hamiltonian path and circuit","Maršruts, kas iziet caur katru virsotni tieši vienu reizi. ""Apmeklē katru muzeja telpu tieši vienu reizi"" tipa uzdevumi.",Comb,Graphs,8
DirectedGraph,"Orientēts grafs","Directed graph","Grafs, kurā šķautnēm ir virziens (bultiņas). Lieto, lai modelētu turnīrus, mājasdarbu pārbaudes secību, vai spēļu pozīcijas.",Comb,Graphs,8
Tree,"Koks (grafs bez cikliem)","Tree","Sakarīgs grafs bez cikliem. $n$ virsotņu kokam ir tieši $n-1$ šķautne. Speciāli — sakņots koks ar izceltu virsotni-sakni.",Comb,Graphs,8
DecisionTree,"Lēmumu (izvēļu) koks","Decision tree","Sakņots koks, kura zari atbilst iespējamām izvēlēm vai notikumu iznākumiem. Lieto varbūtību un spēļu uzdevumos.",Comb,Graphs,7
BinaryRelation,"Bināra relācija","Binary relation","$S \times S$ apakškopa — pāru $(a,b)$ kopa ar nozīmi ""a ir kāda noteiktā attiecībā ar b"". Piemēri: dalāmība, ""draudzējas"", ""ir vecāks par"", ""dod tādu pašu atlikumu"".",Comb,BinaryRelations,8
EquivalenceRelation,"Ekvivalences relācija","Equivalence relation","Bināra relācija, kas ir refleksīva, simetriska un tranzitīva. Sadala kopu klasēs (piem., atlikumu klases, sakarīguma komponentes).",Comb,BinaryRelations,8
PartialOrder,"Daļējs sakārtojums","Partial order","Refleksīva, antisimetriska un tranzitīva relācija. Klasiski piemēri: dalāmība uz $\mathbb{N}$, apakškopu hierarhija, četrstūru ģimeņu hierarhija.",Comb,BinaryRelations,9
TotalOrder,"Pilns (lineārs) sakārtojums","Total (linear) order","Daļējs sakārtojums, kurā jebkurus divus elementus var salīdzināt. Piemēri: skolēni rindā pēc auguma, šahisti pēc spēles spēka.",Comb,BinaryRelations,8
PointLineSegmentRay,"Punkts, taisne, stars, nogrieznis","Point, line, segment, ray","Plaknes ģeometrijas pamatobjekti, no kuriem konstruē visas figūras.",Geom,GeometryBasics,5
Angle,"Leņķis un tā lielums","Angle","Divu staru ar kopīgu sākumpunktu izveidots objekts. Mēra grādos. Veidi: šaurs, taisns, plats, izstiepts.",Geom,GeometryBasics,5
ParallelPerpendicular,"Paralēlas un perpendikulāras taisnes","Parallel and perpendicular lines","Divas taisnes, kas plaknē nekrustojas (paralēlas) vai krustojas taisnā leņķī (perpendikulāras). Pamats daudziem leņķu uzdevumiem.",Geom,GeometryBasics,6
Polygon,"Daudzstūris","Polygon","Slēgta lauzta līnija plaknē kā virsotņu sakārtota virkne. Veidi pēc malu skaita un izliektības/ieliektības.",Geom,GeometryBasics,6
Triangle,"Trijstūris","Triangle","Daudzstūris ar trim virsotnēm un malām. Klasifikācijas: pēc malām (vienādmalu, vienādsānu, dažādmalu), pēc leņķiem (šaurleņķu, taisnleņķu, platleņķu).",Geom,GeometryBasics,5
TriangleInequality,"Trijstūra nevienādība","Triangle inequality","Trijstūra jebkuras malas garums ir mazāks par abu pārējo malu garumu summu. Pamats trijstūra eksistences nosacījumiem.",Geom,GeometryShapes,7
TriangleAngleSum,"Trijstūra leņķu summa","Sum of angles in a triangle","Trijstūra iekšējo leņķu summa ir $180°$. Vispārīgi $n$-stūrim — $(n-2) \cdot 180°$.",Geom,GeometryShapes,7
TriangleSpecialLines,"Trijstūra mediānas, bisektrises, augstumi","Triangle medians, bisectors, altitudes","Trijstūra īpašās līnijas: mediāna (no virsotnes uz pretējās malas viduspunktu), bisektrise (dala leņķi uz pusēm), augstums (perpendikuls uz pretējo malu).",Geom,GeometryShapes,7
TriangleCongruence,"Trijstūru vienādības pazīmes","Triangle congruence criteria","Pazīmes (mmm, mlm, lml, lmL u.c.), pēc kurām var konstatēt, ka divi trijstūri ir vienādi. Daudzu pierādījumu uzdevumu pamats.",Geom,GeometryShapes,7
TriangleSimilarity,"Trijstūru līdzības pazīmes","Triangle similarity criteria","Pazīmes (ll, mml, mmm proporcionalitātē), pēc kurām var konstatēt, ka divi trijstūri ir līdzīgi (vienāda forma, atšķirīgs mērogs).",Geom,GeometryShapes,9
QuadrilateralFamilies,"Četrstūru ģimenes","Quadrilateral families","Hierarhija: paralelograms, taisnstūris, rombs, kvadrāts, trapece. Veido daļēju sakārtojumu pēc papildīpašībām.",Geom,GeometryShapes,7
ParallelogramProperties,"Paralelograma īpašības","Parallelogram properties","Pretējās malas paralēlas un vienādas; pretējie leņķi vienādi; diagonāles krustojoties dalās uz pusēm.",Geom,GeometryShapes,8
PythagoreanTheorem,"Pitagora teorēma","Pythagorean theorem","Taisnleņķa trijstūrī $a^2 + b^2 = c^2$, kur $c$ — hipotenūza. Vienlaikus arī trijstūru kopas struktūra (Pitagora trijnieki — naturālu skaitļu trijnieki, kas šim apmierina).",Geom,GeometryShapes,8
CircleAndDisk,"Riņķa līnija un riņķis","Circle and disk","Riņķa līnija — visu plaknes punktu kopa, kas atrodas vienādā attālumā (rādiusā) no centra. Riņķis — riņķa līnija ar iekšpusi.",Geom,GeometryShapes,6
ChordTangentSecant,"Hordas, pieskares, sekantes","Chords, tangents, secants","Riņķa līnijas elementi: horda — nogrieznis, kura gali ir uz riņķa līnijas; pieskare — taisne, kas pieskaras vienā punktā; sekante — taisne, kas krusto līniju divos punktos.",Geom,GeometryShapes,9
InscribedCentralAngle,"Ievilktais un centra leņķis","Inscribed and central angle","Centra leņķis — leņķis ar virsotni riņķa centrā; ievilktais leņķis — ar virsotni uz riņķa līnijas. Ievilktais leņķis ir puse no centra leņķa, kas balstās uz to pašu loku.",Geom,GeometryShapes,9
PlaneTransformation,"Plaknes pārveidojumi","Plane transformations","Bijekcijas plaknē uz sevi: paralēla pārvietošana, simetrijas, pagrieziens, līdzība. Izomorfisms starp ģeometriju un funkcijām.",Geom,Transformations,8
AxialSymmetry,"Aksiāla simetrija (atspulgs pret taisni)","Axial (line) symmetry","Plaknes pārveidojums, kurā katrs punkts tiek aizstāts ar tā spoguļattēlu attiecībā pret fiksētu taisni — simetrijas asi.",Geom,Transformations,6
